Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Product,Quantity,Unit_Price,Sales,Profit,Region,State,Payment_Mode
ORD00045,03-06-2025,CUST0260,Customer_0159,Books,Cooking Book,1.00,"? 1,337.59","? 1,337.59",? 202.99,East,West Bengal,Debit Card
ORD00046,14-07-2025,CUST0090,Customer_0292,Books,Data Science Book,2.00,? 843.74,"? 1,687.48",? 285.75,South,Karnataka,UPI
ORD00047,24-10-2025,CUST0165,Customer_0239,Home & Kitchen,Cookware Set,2.00,"? 2,721.86","? 5,443.72",? 965.04,South,Tamil Nadu,Credit Card
ORD00048,26-05-2025,CUST0264,Customer_0172,Books,Novel,2.00,"? 1,237.10","? 2,474.20",? 643.42,North,Uttar Pradesh,Credit Card
ORD00049,24-01-2025,CUST0126,Customer_0244,Home & Kitchen,Water Bottle,2.00,"? 1,097.29","? 2,194.58",? 585.83,North,Delhi,UPI
ORD00050,23-12-2025,CUST0197,Customer_0254,Beauty,Perfume,5.00,? 606.92,"? 3,034.60",? 405.65,North,Rajasthan,UPI
ORD00051,23-12-2025,CUST0266,Customer_0238,Electronics,Wireless Headphones,2.00,"? 2,522.70","? 5,045.40","? 1,022.35",North,Rajasthan,UPI
ORD00052,14-10-2025,CUST0163,Customer_0227,Beauty,Hair Dryer,4.00,"? 1,718.81","? 6,875.24","? 1,782.76",South,Karnataka,Net Banking
ORD00053,01-09-2025,CUST0231,Customer_0133,Beauty,Shampoo,2.00,"? 1,897.59","? 3,795.18","? 1,004.85",North,Uttar Pradesh,Debit Card
ORD00054,09-02-2025,CUST0147,Customer_0121,Books,Data Science Book,2.00,? 603.09,"? 1,206.18",? 185.61,North,Uttar Pradesh,Net Banking
ORD00055,22-12-2025,CUST0079,Customer_0110,Electronics,Wireless Headphones,2.00,"? 3,159.51","? 6,319.02","? 1,082.26",South,Karnataka,Debit Card
ORD00056,04-08-2025,CUST0200,Customer_0300,Books,Novel,4.00,? 252.74,"? 1,010.96",? 271.42,North,Uttar Pradesh,Net Banking
ORD00057,02-06-2025,CUST0200,Customer_0215,Beauty,Hair Dryer,1.00,"? 2,365.44","? 2,365.44",? 578.24,North,Uttar Pradesh,Net Banking
ORD00058,12-08-2025,CUST0249,Customer_0015,Books,Cooking Book,4.00,? 512.05,"? 2,048.20",? 315.32,North,Delhi,Cash on Delivery
ORD00059,01-10-2025,CUST0014,Customer_0202,Clothing,Sneakers,2.00,"? 3,438.31","? 6,876.62","? 1,403.97",North,Uttar Pradesh,UPI
ORD00060,04-04-2025,CUST0026,Customer_0134,Electronics,Power Bank,2.00,"? 10,468.79","? 20,937.58","? 3,182.88",North,Rajasthan,Cash on Delivery
ORD00061,04-08-2025,CUST0130,Customer_0042,Home & Kitchen,Cookware Set,4.00,"? 1,849.98","? 7,399.92",? 623.55,East,West Bengal,Net Banking
ORD00062,30-11-2025,CUST0021,Customer_0016,Electronics,Smart Watch,2.00,"? 7,976.66","? 15,953.32","? 1,975.97",East,West Bengal,UPI
ORD00063,09-12-2025,CUST0059,Customer_0289,Books,Self Help Book,2.00,? 358.26,? 716.52,? 130.63,South,Karnataka,Debit Card
ORD00064,28-02-2025,CUST0084,Customer_0160,Home & Kitchen,Coffee Maker,5.00,"? 3,741.67","? 18,708.35","? 3,878.44",South,Karnataka,Debit Card
ORD00065,12-04-2025,CUST0039,Customer_0125,Books,Novel,4.00,"? 1,703.43","? 6,813.72","? 1,590.20",North,Rajasthan,Debit Card
ORD00066,27-06-2025,CUST0273,Customer_0220,Books,Data Science Book,5.00,"? 1,441.35","? 7,206.75",? 685.87,West,Gujarat,Debit Card
ORD00067,05-07-2025,CUST0236,Customer_0079,Electronics,Power Bank,4.00,"? 1,713.70","? 6,854.80",? 814.01,North,Rajasthan,Net Banking
ORD00068,31-10-2025,CUST0138,Customer_0166,Home & Kitchen,Mixer Grinder,4.00,"? 2,754.55","? 11,018.20","? 2,895.15",North,Uttar Pradesh,UPI
ORD00069,19-10-2025,CUST0195,Customer_0173,Home & Kitchen,Coffee Maker,2.00,"? 4,565.24","? 9,130.48","? 1,723.35",North,Uttar Pradesh,Debit Card
ORD00070,13-05-2025,CUST0175,Customer_0144,Clothing,Sneakers,2.00,"? 1,435.44","? 2,870.88",? 672.53,North,Uttar Pradesh,Debit Card
ORD00071,13-02-2025,CUST0124,Customer_0209,Books,Cooking Book,5.00,"? 1,714.30","? 8,571.50","? 1,732.63",West,Maharashtra,Credit Card
ORD00072,17-02-2025,CUST0151,Customer_0114,Beauty,Perfume,4.00,"? 2,013.39","? 8,053.56","? 1,869.98",North,Uttar Pradesh,Debit Card
ORD00073,26-06-2025,CUST0218,Customer_0282,Books,Data Science Book,4.00,"? 1,063.23","? 4,252.92",? 669.40,East,West Bengal,Cash on Delivery
ORD00074,09-04-2025,CUST0162,Customer_0062,Home & Kitchen,Water Bottle,3.00,"? 1,575.59","? 4,726.77","? 1,366.95",South,Tamil Nadu,Credit Card
ORD00075,29-10-2025,CUST0269,Customer_0145,Clothing,T-Shirt,4.00,"? 1,184.80","? 4,739.20","? 1,247.25",North,Delhi,Debit Card
ORD00076,29-12-2025,CUST0274,Customer_0065,Clothing,Hoodie,2.00,"? 1,267.26","? 2,534.52",? 228.14,East,West Bengal,UPI
ORD00077,09-09-2025,CUST0053,Customer_0007,Books,Children Book,2.00,"? 1,202.48","? 2,404.96",? 342.84,South,Tamil Nadu,Cash on Delivery
ORD00078,10-05-2025,CUST0245,Customer_0059,Beauty,Face Wash,2.00,"? 2,418.92","? 4,837.84",? 813.51,East,West Bengal,UPI
ORD00079,16-10-2025,CUST0156,Customer_0044,Books,Self Help Book,2.00,? 396.18,? 792.36,? 84.04,West,Maharashtra,Cash on Delivery
ORD00080,15-08-2025,CUST0153,Customer_0220,Books,Data Science Book,5.00,? 777.62,"? 3,888.10",? 797.44,North,Delhi,UPI
ORD00081,16-05-2025,CUST0042,Customer_0081,Books,Self Help Book,2.00,"? 1,182.10","? 2,364.20",? 279.54,West,Gujarat,UPI
ORD00082,01-11-2025,CUST0241,Customer_0150,Clothing,T-Shirt,4.00,"? 1,741.61","? 6,966.44",? 912.08,West,Maharashtra,Debit Card
ORD00083,17-11-2025,CUST0102,Customer_0218,Beauty,Face Wash,2.00,"? 2,321.19","? 4,642.38",? 927.56,West,Gujarat,Credit Card
ORD00084,07-06-2025,CUST0292,Customer_0148,Home & Kitchen,Cookware Set,1.00,? 592.92,? 592.92,? 63.65,South,Karnataka,Debit Card
ORD00085,13-08-2025,CUST0042,Customer_0021,Beauty,Perfume,5.00,"? 1,418.96","? 7,094.80","? 1,714.09",South,Tamil Nadu,Net Banking
ORD00086,12-12-2025,CUST0295,Customer_0011,Home & Kitchen,Bedsheet,1.00,"? 1,566.32","? 1,566.32",? 323.87,West,Maharashtra,Credit Card
ORD00087,27-10-2025,CUST0224,Customer_0252,Beauty,Face Wash,3.00,? 576.50,"? 1,729.50",? 317.19,North,Uttar Pradesh,Cash on Delivery
ORD00088,18-06-2025,CUST0211,Customer_0254,Home & Kitchen,Bedsheet,1.00,"? 5,181.97","? 5,181.97","? 1,169.92",East,West Bengal,Cash on Delivery
ORD00089,10-05-2025,CUST0166,Customer_0060,Books,Cooking Book,4.00,? 295.30,"? 1,181.20",? 319.26,West,Maharashtra,UPI
ORD00090,23-09-2025,CUST0186,Customer_0256,Books,Cooking Book,4.00,? 239.44,? 957.76,? 236.76,North,Uttar Pradesh,Credit Card
ORD00091,24-12-2025,CUST0249,Customer_0063,Home & Kitchen,Coffee Maker,3.00,"? 2,769.17","? 8,307.51","? 2,443.17",South,Karnataka,Net Banking
ORD00092,10-10-2025,CUST0209,Customer_0048,Clothing,Jeans,3.00,"? 2,062.68","? 6,188.04","? 1,845.87",South,Karnataka,UPI
ORD00093,30-05-2025,CUST0261,Customer_0140,Beauty,Perfume,2.00,"? 1,321.18","? 2,642.36",? 696.63,West,Gujarat,Cash on Delivery
ORD00094,08-04-2025,CUST0261,Customer_0070,Clothing,T-Shirt,5.00,? 762.85,"? 3,814.25",? 536.95,North,Uttar Pradesh,Cash on Delivery
ORD00095,02-06-2025,CUST0297,Customer_0251,Home & Kitchen,Mixer Grinder,1.00,"? 1,876.32","? 1,876.32",? 334.44,South,Tamil Nadu,Cash on Delivery
ORD00096,13-07-2025,CUST0234,Customer_0165,Home & Kitchen,Mixer Grinder,5.00,"? 4,636.52","? 23,182.60","? 6,856.73",East,West Bengal,Credit Card
ORD00097,30-07-2025,CUST0023,Customer_0163,Books,Cooking Book,2.00,"? 1,562.42","? 3,124.84",? 734.81,North,Rajasthan,Cash on Delivery
ORD00098,06-03-2025,CUST0258,Customer_0170,Beauty,Face Wash,4.00,"? 2,417.34","? 9,669.36","? 2,633.18",South,Karnataka,Cash on Delivery
ORD00099,29-07-2025,CUST0080,Customer_0039,Electronics,Power Bank,1.00,"? 8,808.10","? 8,808.10","? 2,219.07",North,Uttar Pradesh,Debit Card
ORD00100,12-12-2025,CUST0274,Customer_0195,Home & Kitchen,Bedsheet,1.00,"? 5,147.65","? 5,147.65","? 1,121.65",North,Rajasthan,Cash on Delivery
ORD00101,20-11-2025,CUST0148,Customer_0117,Books,Novel,5.00,? 262.89,"? 1,314.45",? 230.65,West,Maharashtra,UPI
ORD00102,15-01-2025,CUST0024,Customer_0167,Electronics,Wireless Headphones,2.00,"? 8,481.01","? 16,962.02","? 2,451.71",North,Uttar Pradesh,Debit Card
ORD00103,17-10-2025,CUST0093,Customer_0088,Beauty,Shampoo,2.00,"? 1,398.24","? 2,796.48",? 272.30,South,Karnataka,Cash on Delivery
ORD00104,15-03-2025,CUST0119,Customer_0237,Books,Data Science Book,4.00,"? 1,656.17","? 6,624.68","? 1,199.77",North,Delhi,UPI
ORD00105,15-08-2025,CUST0177,Customer_0154,Beauty,Perfume,5.00,? 521.24,"? 2,606.20",? 604.30,South,Tamil Nadu,Cash on Delivery
ORD00106,24-02-2025,CUST0122,Customer_0196,Home & Kitchen,Water Bottle,4.00,"? 5,156.68","? 20,626.72","? 3,279.05",North,Delhi,Debit Card
ORD00107,17-10-2025,CUST0026,Customer_0255,Home & Kitchen,Bedsheet,4.00,"? 1,828.26","? 7,313.04","? 1,833.11",West,Maharashtra,Credit Card
ORD00108,14-11-2025,CUST0129,Customer_0071,Books,Novel,2.00,"? 1,200.42","? 2,400.84",? 669.23,East,West Bengal,UPI
ORD00109,09-03-2025,CUST0047,Customer_0152,Home & Kitchen,Bedsheet,1.00,"? 3,582.55","? 3,582.55",? 875.74,North,Uttar Pradesh,Credit Card
ORD00110,07-07-2025,CUST0272,Customer_0257,Clothing,Hoodie,5.00,"? 3,104.67","? 15,523.35","? 4,078.05",South,Karnataka,Debit Card
ORD00111,28-08-2025,CUST0039,Customer_0073,Beauty,Shampoo,3.00,"? 2,039.95","? 6,119.85","? 1,647.65",South,Tamil Nadu,Cash on Delivery
ORD00112,08-01-2025,CUST0136,Customer_0275,Books,Novel,1.00,"? 1,454.63","? 1,454.63",? 261.91,East,West Bengal,Debit Card
ORD00113,30-04-2025,CUST0242,Customer_0013,Books,Children Book,3.00,? 328.77,? 986.31,? 270.77,North,Rajasthan,Net Banking
ORD00114,26-08-2025,CUST0155,Customer_0210,Home & Kitchen,Coffee Maker,1.00,"? 3,903.57","? 3,903.57",? 432.32,North,Delhi,UPI
ORD00115,03-10-2025,CUST0070,Customer_0199,Home & Kitchen,Cookware Set,1.00,? 808.85,? 808.85,? 130.73,North,Uttar Pradesh,Net Banking
ORD00116,08-09-2025,CUST0209,Customer_0144,Beauty,Face Wash,4.00,"? 1,689.07","? 6,756.28","? 1,566.52",South,Karnataka,Credit Card
ORD00117,20-02-2025,CUST0189,Customer_0279,Beauty,Moisturizer,2.00,"? 2,160.31","? 4,320.62",? 403.20,North,Uttar Pradesh,Debit Card
ORD00118,19-04-2025,CUST0011,Customer_0026,Clothing,Hoodie,4.00,? 593.35,"? 2,373.40",? 317.05,West,Gujarat,Credit Card
ORD00119,11-10-2025,CUST0107,Customer_0111,Books,Self Help Book,1.00,"? 1,519.20","? 1,519.20",? 231.35,North,Delhi,Credit Card
ORD00120,16-03-2025,CUST0067,Customer_0277,Books,Data Science Book,3.00,"? 1,566.37","? 4,699.11","? 1,201.44",West,Maharashtra,UPI
ORD00121,02-05-2025,CUST0166,Customer_0009,Electronics,Smart Watch,1.00,"? 4,619.79","? 4,619.79",? 639.29,South,Karnataka,Credit Card
ORD00122,05-07-2025,CUST0263,Customer_0056,Beauty,Perfume,1.00,"? 1,269.18","? 1,269.18",? 242.22,West,Gujarat,Net Banking
ORD00123,16-01-2025,CUST0032,Customer_0246,Electronics,Power Bank,4.00,"? 7,898.42","? 31,593.68","? 5,490.36",South,Tamil Nadu,UPI
ORD00124,14-06-2025,CUST0076,Customer_0034,Beauty,Shampoo,1.00,"? 2,263.28","? 2,263.28",? 318.00,North,Uttar Pradesh,Net Banking
ORD00125,29-09-2025,CUST0151,Customer_0233,Books,Children Book,4.00,"? 1,791.14","? 7,164.56","? 1,527.44",East,West Bengal,UPI
ORD00126,27-04-2025,CUST0212,Customer_0174,Electronics,Power Bank,4.00,"? 5,692.88","? 22,771.52","? 3,819.25",North,Delhi,UPI
ORD00127,11-07-2025,CUST0079,Customer_0243,Home & Kitchen,Coffee Maker,3.00,"? 4,074.37","? 12,223.11","? 1,223.16",North,Rajasthan,UPI
ORD00128,10-07-2025,CUST0067,Customer_0285,Electronics,Wireless Headphones,1.00,"? 9,062.77","? 9,062.77","? 1,894.32",North,Rajasthan,Net Banking
ORD00129,07-12-2025,CUST0217,Customer_0027,Books,Data Science Book,1.00,? 827.83,? 827.83,? 175.57,East,West Bengal,Debit Card
ORD00130,25-04-2025,CUST0056,Customer_0180,Electronics,USB Cable,2.00,"? 8,052.47","? 16,104.94","? 2,590.70",North,Delhi,Debit Card
ORD00131,15-11-2025,CUST0286,Customer_0014,Books,Children Book,4.00,"? 1,544.51","? 6,178.04","? 1,757.03",North,Delhi,Debit Card
ORD00132,08-06-2025,CUST0174,Customer_0180,Electronics,Wireless Headphones,3.00,"? 8,581.04","? 25,743.12","? 3,086.84",South,Karnataka,Credit Card
ORD00133,21-11-2025,CUST0016,Customer_0047,Books,Children Book,1.00,? 384.09,? 384.09,? 48.91,North,Rajasthan,Cash on Delivery
ORD00134,16-06-2025,CUST0291,Customer_0044,Beauty,Face Wash,2.00,"? 1,019.62","? 2,039.24",? 232.94,East,West Bengal,Net Banking
ORD00135,06-08-2025,CUST0249,Customer_0227,Electronics,Power Bank,3.00,"? 5,595.80","? 16,787.40","? 2,351.86",West,Gujarat,Net Banking
ORD00136,14-12-2025,CUST0250,Customer_0270,Electronics,Bluetooth Speaker,4.00,"? 1,775.23","? 7,100.92",? 639.02,East,West Bengal,Cash on Delivery
ORD00137,19-04-2025,CUST0071,Customer_0131,Books,Data Science Book,1.00,? 487.30,? 487.30,? 74.16,West,Maharashtra,UPI
ORD00138,30-09-2025,CUST0118,Customer_0257,Beauty,Hair Dryer,2.00,? 453.59,? 907.18,? 238.89,North,Rajasthan,Debit Card
ORD00139,24-08-2025,CUST0040,Customer_0161,Electronics,USB Cable,1.00,"? 5,516.53","? 5,516.53",? 962.32,North,Rajasthan,Cash on Delivery
ORD00140,16-06-2025,CUST0088,Customer_0236,Beauty,Moisturizer,1.00,"? 1,101.83","? 1,101.83",? 109.51,South,Tamil Nadu,UPI
ORD00141,10-02-2025,CUST0203,Customer_0159,Clothing,Hoodie,5.00,"? 1,581.44","? 7,907.20","? 1,018.02",North,Rajasthan,Credit Card
ORD00142,28-06-2025,CUST0180,Customer_0076,Electronics,Smart Watch,5.00,"? 6,364.45","? 31,822.25","? 3,265.50",West,Gujarat,Debit Card
ORD00143,02-12-2025,CUST0039,Customer_0091,Clothing,Kurta,5.00,? 789.18,"? 3,945.90",? 718.43,South,Karnataka,Net Banking
ORD00144,16-11-2025,CUST0166,Customer_0162,Books,Self Help Book,5.00,"? 1,210.94","? 6,054.70","? 1,070.16",North,Uttar Pradesh,Cash on Delivery
ORD00145,30-06-2025,CUST0260,Customer_0038,Beauty,Moisturizer,3.00,"? 1,539.84","? 4,619.52",? 838.83,South,Tamil Nadu,UPI
ORD00146,16-02-2025,CUST0260,Customer_0197,Electronics,Power Bank,3.00,"? 1,382.41","? 4,147.23",? 861.27,East,West Bengal,UPI
ORD00147,14-09-2025,CUST0078,Customer_0032,Beauty,Perfume,3.00,"? 1,571.76","? 4,715.28",? 484.59,North,Delhi,Debit Card
ORD00148,13-08-2025,CUST0225,Customer_0269,Electronics,USB Cable,1.00,"? 3,349.05","? 3,349.05",? 717.22,South,Karnataka,Debit Card
ORD00149,23-06-2025,CUST0027,Customer_0172,Home & Kitchen,Coffee Maker,4.00,"? 2,600.42","? 10,401.68","? 1,586.59",South,Tamil Nadu,Net Banking
ORD00150,03-12-2025,CUST0077,Customer_0171,Beauty,Face Wash,3.00,"? 1,850.77","? 5,552.31","? 1,156.01",South,Tamil Nadu,Credit Card
ORD00151,29-12-2025,CUST0044,Customer_0159,Home & Kitchen,Water Bottle,4.00,? 991.47,"? 3,965.88",? 645.92,South,Tamil Nadu,Debit Card
ORD00152,10-01-2025,CUST0186,Customer_0159,Clothing,Jeans,4.00,"? 1,927.16","? 7,708.64","? 2,229.78",West,Gujarat,Debit Card
ORD00153,21-03-2025,CUST0040,Customer_0152,Beauty,Face Wash,2.00,"? 2,499.95","? 4,999.90",? 958.44,North,Delhi,Net Banking
ORD00154,13-11-2025,CUST0068,Customer_0193,Books,Self Help Book,3.00,"? 1,596.05","? 4,788.15",? 553.96,West,Maharashtra,Net Banking
ORD00155,13-12-2025,CUST0122,Customer_0228,Clothing,Sneakers,1.00,"? 1,614.75","? 1,614.75",? 230.40,North,Uttar Pradesh,Cash on Delivery
ORD00156,29-08-2025,CUST0100,Customer_0189,Clothing,Sneakers,3.00,"? 3,389.91","? 10,169.73","? 3,016.11",North,Delhi,Cash on Delivery
ORD00157,24-03-2025,CUST0103,Customer_0071,Home & Kitchen,Bedsheet,5.00,"? 3,282.89","? 16,414.45","? 1,501.59",North,Rajasthan,Cash on Delivery
ORD00158,26-05-2025,CUST0043,Customer_0083,Home & Kitchen,Bedsheet,5.00,"? 5,144.20","? 25,721.00","? 4,600.21",West,Gujarat,Net Banking
ORD00159,24-04-2025,CUST0231,Customer_0179,Clothing,T-Shirt,1.00,"? 3,328.52","? 3,328.52",? 570.10,North,Rajasthan,Cash on Delivery
ORD00160,11-02-2025,CUST0192,Customer_0115,Books,Novel,2.00,? 787.17,"? 1,574.34",? 236.33,East,West Bengal,UPI
ORD00161,30-08-2025,CUST0072,Customer_0241,Home & Kitchen,Cookware Set,2.00,? 470.24,? 940.48,? 202.56,South,Karnataka,UPI
ORD00162,08-10-2025,CUST0271,Customer_0217,Electronics,Wireless Headphones,2.00,"? 10,102.08","? 20,204.16","? 5,066.35",South,Tamil Nadu,Credit Card
ORD00163,24-11-2025,CUST0235,Customer_0033,Home & Kitchen,Coffee Maker,1.00,"? 1,621.03","? 1,621.03",? 428.07,West,Gujarat,Cash on Delivery
ORD00164,15-03-2025,CUST0150,Customer_0220,Books,Novel,5.00,"? 1,098.83","? 5,494.15","? 1,182.66",West,Maharashtra,Credit Card
ORD00165,13-02-2025,CUST0269,Customer_0185,Books,Novel,2.00,"? 1,246.21","? 2,492.42",? 722.18,North,Rajasthan,Net Banking
ORD00166,23-01-2025,CUST0199,Customer_0192,Books,Data Science Book,4.00,"? 1,591.00","? 6,364.00","? 1,555.42",West,Maharashtra,Debit Card
ORD00167,18-11-2025,CUST0054,Customer_0298,Electronics,Bluetooth Speaker,2.00,"? 8,928.82","? 17,857.64","? 1,952.73",East,West Bengal,Debit Card
ORD00168,17-12-2025,CUST0238,Customer_0246,Books,Self Help Book,2.00,"? 1,520.13","? 3,040.26",? 786.00,East,West Bengal,UPI
ORD00169,13-04-2025,CUST0022,Customer_0162,Beauty,Moisturizer,3.00,? 623.74,"? 1,871.22",? 361.86,West,Maharashtra,Net Banking
ORD00170,08-04-2025,CUST0147,Customer_0183,Beauty,Face Wash,1.00,"? 1,920.23","? 1,920.23",? 519.38,South,Tamil Nadu,Debit Card
ORD00171,24-07-2025,CUST0226,Customer_0198,Home & Kitchen,Bedsheet,3.00,"? 2,762.47","? 8,287.41","? 2,438.32",West,Gujarat,Cash on Delivery
ORD00172,12-02-2025,CUST0218,Customer_0041,Beauty,Perfume,5.00,? 776.79,"? 3,883.95",? 825.49,East,West Bengal,Credit Card
